participant_id,nlang,entropy_curr_tot_exp,age,edu,sex_binary,nlang_z,entropy_z,age_z,edu_z
sub-pp125,5,1.2,22.3,16,1,0.16993509754033825,1.7014697956102716,-0.25903616757564296,0.10939250327792688
sub-pp023,5,0.2,24.1,17,0,0.16993509754033825,-1.3134152808219641,0.1848165681948751,0.5343403044729501
sub-pp025,5,0.6,21.4,13,1,0.16993509754033825,-0.10746125024906988,-0.4809625354609024,-1.165450900307143
sub-pp033,5,0.7,24.8,19,1,0.16993509754033825,0.1940272573941536,0.3574259654389652,1.3842359068629966
sub-pp112,5,1.0,20.9,14,1,0.16993509754033825,1.0984927803238245,-0.604254962063824,-0.7405030991121196
sub-pp019,5,0.8,20.5,14,1,0.16993509754033825,0.49551576503737743,-0.7028889033461609,-0.7405030991121196
sub-pp110,6,0.4,20.1,13,1,0.7235946088814398,-0.7104382655355169,-0.8015228446284979,-1.165450900307143
sub-pp027,6,1.0,29.4,19,0,0.7235946088814398,1.0984927803238245,1.4917162901858436,1.3842359068629966
sub-pp077,6,1.3,19.9,13,1,0.7235946088814398,2.002958303253495,-0.8508398152696672,-1.165450900307143
sub-pp127,6,0.3,20.8,14,1,0.7235946088814398,-1.0119267731787405,-0.6289134473844078,-0.7405030991121196
sub-pp044,6,0.9,21.2,18,0,0.7235946088814398,0.7970042726806009,-0.5302795061020709,0.9592881056679734
sub-pp091,6,0.9,21.5,18,0,0.7235946088814398,0.7970042726806009,-0.4563040501403177,0.9592881056679734
sub-pp161,6,0.3,20.8,16,1,0.7235946088814398,-1.0119267731787405,-0.6289134473844078,0.10939250327792688
sub-pp039,6,0.8,28.9,15,0,0.7235946088814398,0.49551576503737743,1.368423863582922,-0.31555529791709636
sub-pp031,6,1.0,20.2,14,1,0.7235946088814398,1.0984927803238245,-0.7768643593079141,-0.7405030991121196
sub-pp036,6,0.7,21.8,12,1,0.7235946088814398,0.1940272573941536,-0.3823285941785646,-1.5903987015021661
sub-pp043,6,0.8,23.4,16,1,0.7235946088814398,0.49551576503737743,0.012207170950784111,0.10939250327792688
sub-pp129,7,1.1,19.7,15,1,1.2772541202225414,1.3999812879670483,-0.9001567859108358,-0.31555529791709636
sub-pp046,7,0.6,18.2,11,0,1.2772541202225414,-0.10746125024906988,-1.2700340657196005,-2.0153465026971893
sub-pp083,7,1.0,35.4,18,0,1.2772541202225414,1.0984927803238245,2.971225409420903,0.9592881056679734
sub-pp088,7,0.4,20.4,16,1,1.2772541202225414,-0.7104382655355169,-0.7275473886667456,0.10939250327792688
sub-pp012,7,0.5,22.1,17,1,1.2772541202225414,-0.4089497578922934,-0.30835313821681143,0.5343403044729501
sub-pp053,8,1.3,23.2,17,1,1.830913631563643,2.002958303253495,-0.03710979969038437,0.5343403044729501
sub-pp133,8,0.8,21.8,15,0,1.830913631563643,0.49551576503737743,-0.3823285941785646,-0.31555529791709636
sub-pp169,8,0.7,19.9,14,1,1.830913631563643,0.1940272573941536,-0.8508398152696672,-0.7405030991121196
sub-pp011,8,0.8,23.4,16,0,1.830913631563643,0.49551576503737743,0.012207170950784111,0.10939250327792688
sub-pp003,8,0.8,25.0,18,1,1.830913631563643,0.49551576503737743,0.4067429360801337,0.9592881056679734
sub-pp094,8,1.1,21.7,17,1,1.830913631563643,1.3999812879670483,-0.40698707949914925,0.5343403044729501
sub-pp005,8,0.7,31.0,25,0,1.830913631563643,0.1940272573941536,1.8862520553151931,3.933922714033136
sub-pp026,10,0.9,38.5,26,1,2.938232654245846,0.7970042726806009,3.7356384543590178,4.358870515228159
