participant_id,nlang,entropy_curr_tot_exp,age,edu,sex_binary,nlang_z,entropy_z,age_z,edu_z,data_complete,nlang_tertile
sub-pp032,5,0.6,21.5,17,1,0.1699350975403382,-0.1074612502490698,-0.4563040501403177,0.5343403044729501,True,mid
sub-pp155,5,0.0,23.9,16,1,0.1699350975403382,-1.9163922961084112,0.1354995975537057,0.1093925032779268,True,mid
sub-pp052,5,1.0,24.9,16,0,0.1699350975403382,1.0984927803238245,0.382084450759549,0.1093925032779268,True,mid
sub-pp019,5,0.8,20.5,14,1,0.1699350975403382,0.4955157650373774,-0.7028889033461609,-0.7405030991121196,True,mid
sub-pp162,5,0.9,21.7,14,1,0.1699350975403382,0.7970042726806009,-0.4069870794991492,-0.7405030991121196,True,mid
sub-pp093,5,0.3,21.6,17,1,0.1699350975403382,-1.0119267731787405,-0.431645564819733,0.5343403044729501,True,mid
sub-pp048,5,0.8,19.4,13,0,0.1699350975403382,0.4955157650373774,-0.974132241872589,-1.165450900307143,True,mid
sub-pp031,6,1.0,20.2,14,1,0.7235946088814398,1.0984927803238245,-0.7768643593079141,-0.7405030991121196,True,high
sub-pp053,8,1.3,23.2,17,1,1.830913631563643,2.002958303253495,-0.0371097996903843,0.5343403044729501,True,high
sub-pp110,6,0.4,20.1,13,1,0.7235946088814398,-0.7104382655355169,-0.8015228446284979,-1.165450900307143,True,high
sub-pp026,10,0.9,38.5,26,1,2.938232654245846,0.7970042726806009,3.7356384543590178,4.358870515228159,True,high
sub-pp129,7,1.1,19.7,15,1,1.2772541202225414,1.3999812879670483,-0.9001567859108358,-0.3155552979170963,True,high
sub-pp036,6,0.7,21.8,12,1,0.7235946088814398,0.1940272573941536,-0.3823285941785646,-1.590398701502166,True,high
sub-pp083,7,1.0,35.4,18,0,1.2772541202225414,1.0984927803238245,2.971225409420903,0.9592881056679734,True,high
sub-pp027,6,1.0,29.4,19,0,0.7235946088814398,1.0984927803238245,1.4917162901858436,1.3842359068629966,True,high
sub-pp005,8,0.7,31.0,25,0,1.830913631563643,0.1940272573941536,1.886252055315193,3.933922714033136,True,high
sub-pp091,6,0.9,21.5,18,0,0.7235946088814398,0.7970042726806009,-0.4563040501403177,0.9592881056679734,True,high
sub-pp077,6,1.3,19.9,13,1,0.7235946088814398,2.002958303253495,-0.8508398152696672,-1.165450900307143,True,high
sub-pp046,7,0.6,18.2,11,0,1.2772541202225414,-0.1074612502490698,-1.2700340657196003,-2.0153465026971893,True,high
sub-pp012,7,0.5,22.1,17,1,1.2772541202225414,-0.4089497578922934,-0.3083531382168114,0.5343403044729501,True,high
sub-pp127,6,0.3,20.8,14,1,0.7235946088814398,-1.0119267731787405,-0.6289134473844078,-0.7405030991121196,True,high
sub-pp044,6,0.9,21.2,18,0,0.7235946088814398,0.7970042726806009,-0.5302795061020709,0.9592881056679734,True,high
sub-pp003,8,0.8,25.0,18,1,1.830913631563643,0.4955157650373774,0.4067429360801337,0.9592881056679734,True,high
sub-pp133,8,0.8,21.8,15,0,1.830913631563643,0.4955157650373774,-0.3823285941785646,-0.3155552979170963,True,high
